INSTANCE,NR_SEQUENCES,MEAN_SEQ_LENGTH,NR_CLUSTERS_BEFORE_MINCLUSTERS,NR_CLUSTERS_MINCLUSTERS,TIME_TRACING_MINCLUSTERS,NR_SHARED_HOMOLOGIES_MINCLUSTERS,NR_HOMOLOGIES_REF,NR_HOMOLOGIES_MINCLUSTERS,NR_ALIGNED_COLS_REF,NR_ALIGNED_COLS_MINCLUSTERS,SPFN_MINCLUSTERS,SPFP_MINCLUSTERS,NR_CLUSTERS_BEFORE_CP,NR_CLUSTERS_CP,TIME_TRACING_CP,NR_SHARED_HOMOLOGIES_CP,NR_HOMOLOGIES_CP,NR_ALIGNED_COLS_CP,SPFN_CP,SPFP_CP
ROSE-1000M3-R4-rose.aln.true.fasta,1000,124.613,124,124,0.014794111251831055,59293726,61698526,61610260,232,246,0.03897661996009438,0.03759980886300429,124,124,24.885552644729614,59293726,61610260,246,0.03897661996009438,0.03759980886300429
ROSE-1000M1-R17-rose.aln.true.fasta,1000,51.776,50,50,0.02559828758239746,9434188,24779281,23313469,216,418,0.6192711160586136,0.5953331526938355,50,50,4.620648145675659,9434188,23313469,418,0.6192711160586136,0.5953331526938355
ROSE-1000M1-R5-rose.aln.true.fasta,1000,80.956,76,76,0.016327619552612305,17905290,38102630,36419712,214,560,0.5300773201219968,0.5083626690952416,76,76,9.141113042831421,17905290,36419712,560,0.5300773201219968,0.5083626690952416
ROSE-1000M4-R10-rose.aln.true.fasta,1000,98.438,105,108,0.011508941650390625,47182980,48648421,48388248,221,211,0.03012309484823772,0.024908279382216958,105,108,26.371018886566162,47182980,48388248,211,0.03012309484823772,0.024908279382216958
ROSE-1000M1-R14-rose.aln.true.fasta,1000,107.833,107,107,0.013780355453491211,47681337,53178094,52901856,227,341,0.10336506231306453,0.09868309724331792,107,107,17.861966371536255,47681337,52901856,341,0.10336506231306453,0.09868309724331792
ROSE-1000M2-R11-rose.aln.true.fasta,1000,56.679,55,55,0.026072263717651367,23468072,27380539,27150851,215,361,0.14289225643074444,0.1356413837636249,55,55,4.71330714225769,23468072,27150851,361,0.14289225643074444,0.1356413837636249
ROSE-1000M3-R3-rose.aln.true.fasta,1000,125.54,136,137,0.0139312744140625,59557445,62169699,62063032,191,198,0.042018122043666284,0.040371649905856954,136,137,25.837074041366577,59557445,62063032,198,0.042018122043666284,0.040371649905856954
ROSE-1000S2-R9-rose.aln.true.fasta,1000,169.494,169,171,0.026641845703125,57955931,83925145,81614427,235,571,0.3094330548967178,0.28988129757989967,169,171,57.183228492736816,57918754,81523938,571,0.30987603298153377,0.2895491137829971
ROSE-1000L1-R16-rose.aln.true.fasta,1000,86.375,85,85,0.014542102813720703,36246581,42396223,42052223,192,417,0.14505164764323464,0.13805790956639796,85,85,10.854991674423218,36246581,42052223,417,0.14505164764323464,0.13805790956639796
ROSE-1000S1-R12-rose.aln.true.fasta,1000,124.199,117,153,0.4255831241607666,18226486,61571059,44911234,211,977,0.7039764087864722,0.5941664395148885,,,,0,0,0,,
ROSE-1000M4-R2-rose.aln.true.fasta,1000,148.05,161,162,0.012811899185180664,72202748,72907878,72911652,220,217,0.00967151999678284,0.009722780660627484,161,162,39.86165738105774,72202748,72911652,217,0.00967151999678284,0.009722780660627484
ROSE-1000M1-R10-rose.aln.true.fasta,1000,77.562,76,77,0.014720916748046875,22002079,37862631,35839201,218,478,0.4188972499032093,0.3860890202323428,76,77,9.58815312385559,22002079,35839201,478,0.4188972499032093,0.3860890202323428
ROSE-1000S1-R5-rose.aln.true.fasta,1000,142.987,143,143,0.01649951934814453,61158066,70716701,70314488,206,295,0.13516799942350255,0.1302209866052072,143,143,30.25248885154724,61158066,70314488,295,0.13516799942350255,0.1302209866052072
ROSE-1000L1-R10-rose.aln.true.fasta,1000,61.626,60,63,0.02811884880065918,18683966,29879023,28174138,132,417,0.37467948667531736,0.3368398351708223,60,63,5.817338228225708,18683966,28174138,417,0.37467948667531736,0.3368398351708223
ROSE-1000S1-R15-rose.aln.true.fasta,1000,132.426,132,132,0.024488210678100586,45364599,65641889,63243297,206,612,0.3089077768618146,0.2826971212459085,132,132,25.71141505241394,45364599,63243297,612,0.3089077768618146,0.2826971212459085
ROSE-1000M2-R13-rose.aln.true.fasta,1000,79.97,79,80,0.03110647201538086,18653835,38622120,36598412,163,486,0.5170168028062675,0.4903102626419966,79,80,9.852574348449707,18653835,36598412,486,0.5170168028062675,0.4903102626419966
ROSE-1000M4-R15-rose.aln.true.fasta,1000,158.804,162,164,0.01423192024230957,76752528,78116702,77732275,258,274,0.017463282052025186,0.01260412100379149,162,164,41.69463086128235,76752528,77732275,274,0.017463282052025186,0.01260412100379149
ROSE-1000S1-R2-rose.aln.true.fasta,1000,162.053,162,162,0.025905847549438477,58744007,80424607,78749692,226,564,0.2695766980869425,0.25404143802873536,162,162,44.289376735687256,58744007,78749692,564,0.2695766980869425,0.25404143802873536
ROSE-1000M4-R16-rose.aln.true.fasta,1000,126.529,132,134,0.011993169784545898,62135310,62744848,62744639,238,237,0.00971455058748405,0.009711251984412583,132,134,26.194446802139282,62135310,62744639,237,0.00971455058748405,0.009711251984412583
ROSE-1000S2-R15-rose.aln.true.fasta,1000,205.97,212,218,0.02594923973083496,87447598,102405035,100929513,257,397,0.1460615388686699,0.1335775294982351,212,218,1895.4109251499176,87447598,100929513,397,0.1460615388686699,0.1335775294982351
ROSE-1000S1-R18-rose.aln.true.fasta,1000,146.751,146,146,0.02102971076965332,61456856,72515405,71823433,233,299,0.15249930687141577,0.14433418965089007,146,146,40.31254243850708,61456856,71823433,299,0.15249930687141577,0.14433418965089007
ROSE-1000S3-R16-rose.aln.true.fasta,1000,163.41,163,163,0.01866745948791504,71673624,80871286,80609111,247,272,0.1137321100594344,0.11084959118330928,163,163,40.82990217208862,71673624,80609111,272,0.1137321100594344,0.11084959118330928
ROSE-1000L3-R15-rose.aln.true.fasta,1000,53.385,65,68,0.025083303451538086,23451575,25825050,25780209,242,282,0.09190592080170223,0.09032642054996531,65,68,7.8603456020355225,23451577,25780099,282,0.09190584335751528,0.09032246152351864
ROSE-1000S2-R19-rose.aln.true.fasta,1000,181.449,181,181,0.02015089988708496,82915933,89916356,89819172,244,254,0.07785483433069729,0.07685707679425058,181,181,50.80422616004944,82915933,89819172,254,0.07785483433069729,0.07685707679425058
ROSE-1000L1-R17-rose.aln.true.fasta,1000,65.015,64,73,0.032828569412231445,12935499,31872530,28011275,201,486,0.5941489740538326,0.538203848271812,64,73,2064.4065454006195,12921265,27784506,486,0.5945955655230382,0.5349471032524387
ROSE-1000M4-R1-rose.aln.true.fasta,1000,89.471,93,97,0.010741472244262695,43880516,44213918,44214137,150,142,0.007540657220199254,0.00754557303696779,93,97,13.67981767654419,43880516,44214137,142,0.007540657220199254,0.00754557303696779
ROSE-1000M2-R18-rose.aln.true.fasta,1000,85.252,85,85,0.013509988784790039,32530061,42067764,41129494,200,371,0.2267223663230592,0.20908190604046817,85,85,11.658115148544312,32530061,41129494,371,0.2267223663230592,0.20908190604046817
