name,method,trace_time,run_time,memory,SPFN,SPFP
ROSE-1000S1-R5-rose.aln.true,minclusters_reimplemented,0.493145227432251,688.3903963565826,4089.1,0.08349272844667399,0.08162366818912681
ROSE-1000S1-R6-rose.aln.true,minclusters_reimplemented,0.5484755039215088,802.4626264572144,4703.2,0.1259698146676097,0.12112131751717392
ROSE-1000S1-R7-rose.aln.true,minclusters_reimplemented,0.6359257698059082,822.5768694877625,4820.1,0.12269896733832752,0.10453957395391755
ROSE-1000S1-R8-rose.aln.true,minclusters_reimplemented,0.5571882724761963,830.0650160312653,4962.4,0.10001848917275658,0.09542766983740147
ROSE-1000S1-R9-rose.aln.true,minclusters_reimplemented,0.7510735988616943,850.121824502945,4512.9,0.14865595269393816,0.13684846434527254
ROSE-1000S2-R0-rose.aln.true,minclusters_reimplemented,0.45202016830444336,645.3510887622833,2583.8,0.05223149381550807,0.05070375198457089
ROSE-1000S2-R10-rose.aln.true,minclusters_reimplemented,0.48360347747802734,685.1685700416565,3269.7,0.046415087163260704,0.04088176199571636
ROSE-1000S2-R11-rose.aln.true,minclusters_reimplemented,4.759485721588135,715.4976477622986,3958.0,0.04514679959811574,0.04274016010941295
ROSE-1000S2-R12-rose.aln.true,minclusters_reimplemented,0.47925639152526855,685.0537981987,3426.9,0.033091409426907026,0.029803200517217077
ROSE-1000S2-R13-rose.aln.true,minclusters_reimplemented,0.4903881549835205,754.5269207954407,3259.4,0.08668006563189345,0.07976372178207858
ROSE-1000S2-R14-rose.aln.true,minclusters_reimplemented,0.4660024642944336,734.3322117328644,4489.6,0.050706601172556764,0.049974458632408125
ROSE-1000S2-R15-rose.aln.true,minclusters_reimplemented,0.5054774284362793,684.8854863643646,3186.2,0.05448286488215748,0.05228459123198337
ROSE-1000S2-R16-rose.aln.true,minclusters_reimplemented,0.5519473552703857,760.4369702339172,3577.4,0.057444794001746735,0.04748650089915685
ROSE-1000S2-R17-rose.aln.true,minclusters_reimplemented,0.45413899421691895,743.7506079673767,3145.8,0.05584206336745656,0.03848461844271389
ROSE-1000S2-R18-rose.aln.true,minclusters_reimplemented,0.5077943801879883,796.5825328826904,4224.8,0.06321242007869432,0.058279838861917455
ROSE-1000S2-R19-rose.aln.true,minclusters_reimplemented,0.46808958053588867,707.1384873390198,4122.6,0.047149290761823615,0.04591099538203447
ROSE-1000S2-R1-rose.aln.true,minclusters_reimplemented,0.4965400695800781,801.9285154342651,4321.1,0.05412213197173632,0.05296901792896325
ROSE-1000S2-R2-rose.aln.true,minclusters_reimplemented,0.5214893817901611,740.6740136146545,3812.7,0.0754513868232416,0.0689960564086024
ROSE-1000S2-R3-rose.aln.true,minclusters_reimplemented,0.4762732982635498,698.3686442375183,3556.4,0.04068029599325884,0.03903309757711437
ROSE-1000S2-R4-rose.aln.true,minclusters_reimplemented,0.4897282123565674,739.4782259464264,3914.7,0.044027838534470454,0.04362091968614201
ROSE-1000S2-R5-rose.aln.true,minclusters_reimplemented,0.47672295570373535,710.1915509700775,3733.0,0.05844205167539762,0.05651781055363836
ROSE-1000S2-R6-rose.aln.true,minclusters_reimplemented,0.4894094467163086,757.2445361614227,4240.1,0.06655048712097233,0.064803996960629
ROSE-1000S2-R7-rose.aln.true,minclusters_reimplemented,0.4973931312561035,675.7312424182892,3957.3,0.05562070831694821,0.05104507091785204
ROSE-1000S2-R8-rose.aln.true,minclusters_reimplemented,0.5349345207214355,737.5841689109802,3930.5,0.07531086788418684,0.07220888762325939
ROSE-1000S2-R9-rose.aln.true,minclusters_reimplemented,0.5454983711242676,715.8833935260773,3867.1,0.09116571384775052,0.07829996733450739
ROSE-1000S3-R0-rose.aln.true,minclusters_reimplemented,0.5160202980041504,766.5735492706299,4249.4,0.04243685404488551,0.04117078503389837
ROSE-1000S3-R10-rose.aln.true,minclusters_reimplemented,0.5049855709075928,700.4490396976471,3588.7,0.04493715839093404,0.042414126687262965
ROSE-1000S3-R11-rose.aln.true,minclusters_reimplemented,0.4943840503692627,617.8438377380371,3007.0,0.03321955812141597,0.03252197105933863
ROSE-1000S3-R12-rose.aln.true,minclusters_reimplemented,0.49746179580688477,894.81418633461,4385.3,0.07257791025543259,0.07042307833729178
ROSE-1000S3-R13-rose.aln.true,minclusters_reimplemented,0.45755791664123535,643.8349685668945,3353.9,0.028194817128750715,0.02539772902203652
ROSE-1000S3-R14-rose.aln.true,minclusters_reimplemented,0.5239241123199463,651.4806642532349,3523.2,0.05698702935769073,0.04991795093829676
ROSE-1000S3-R15-rose.aln.true,minclusters_reimplemented,0.4686851501464844,646.9518806934357,3295.0,0.05023547303197762,0.048783128461389436
ROSE-1000S3-R16-rose.aln.true,minclusters_reimplemented,0.4973914623260498,696.026670217514,3376.8,0.055364145891658945,0.05417827440597489
ROSE-1000S3-R17-rose.aln.true,minclusters_reimplemented,0.47249484062194824,705.5369374752045,3895.6,0.05796824485862906,0.0573201754426802
ROSE-1000S3-R18-rose.aln.true,minclusters_reimplemented,0.4673268795013428,665.7875070571899,3401.5,0.04561465630974726,0.044856243493420545
ROSE-1000S3-R19-rose.aln.true,minclusters_reimplemented,0.49070262908935547,701.8126795291901,3965.5,0.05141399002981306,0.05008330423695606
ROSE-1000S3-R1-rose.aln.true,minclusters_reimplemented,0.47837233543395996,647.3620219230652,3305.4,0.03743770739984498,0.03603248178618246
ROSE-1000S3-R2-rose.aln.true,minclusters_reimplemented,0.466663122177124,682.1570320129395,4260.4,0.047433397098128216,0.04635578097077797
ROSE-1000S3-R3-rose.aln.true,minclusters_reimplemented,0.47875308990478516,676.8847460746765,3247.8,0.031286495578115026,0.028330205588547708
ROSE-1000S3-R4-rose.aln.true,minclusters_reimplemented,0.4827725887298584,669.1708834171295,3497.3,0.0480476252051949,0.046037746528486245
ROSE-1000S3-R5-rose.aln.true,minclusters_reimplemented,0.4543297290802002,613.5577766895294,3063.3,0.025301368888618114,0.025162577194334457
ROSE-1000S3-R6-rose.aln.true,minclusters_reimplemented,0.47452640533447266,735.308470249176,3562.9,0.044902878150787084,0.03626614992104915
ROSE-1000S3-R7-rose.aln.true,minclusters_reimplemented,0.46752405166625977,709.4414939880371,3686.9,0.04770368244764844,0.04582254170202438
ROSE-1000S3-R8-rose.aln.true,minclusters_reimplemented,0.4627690315246582,648.2997505664825,3299.6,0.05026688045213512,0.04525773074514494
ROSE-1000S3-R9-rose.aln.true,minclusters_reimplemented,0.50600266456604,697.4712316989899,4088.6,0.05191845114061089,0.0503969676604219
RNASim-1000-R0-true_align,minclusters_reimplemented,1.0842020511627197,3233.352130651474,9838.6,0.09748568206495489,0.0932193168153519
RNASim-1000-R10-true_align,minclusters_reimplemented,1.1092453002929688,3154.5849556922913,9738.8,0.09815106197144063,0.0946239792734348
RNASim-1000-R11-true_align,minclusters_reimplemented,1.0594770908355713,2872.308222770691,9574.3,0.09483360523293927,0.09087250774461009
RNASim-1000-R12-true_align,minclusters_reimplemented,1.0263774394989014,2925.8998234272003,9680.3,0.09402808967022869,0.09028472986727809
RNASim-1000-R13-true_align,minclusters_reimplemented,1.0897729396820068,3187.674867630005,9781.1,0.10147039306653238,0.09491076722620007
RNASim-1000-R14-true_align,minclusters_reimplemented,1.0306129455566406,3004.673100709915,9771.7,0.09586569464455597,0.09312748853232078
RNASim-1000-R15-true_align,minclusters_reimplemented,1.0795402526855469,3159.281233549118,9735.1,0.10329096852128927,0.09857534775513288
RNASim-1000-R16-true_align,minclusters_reimplemented,1.0961885452270508,3282.4659395217896,9728.8,0.10361025340641083,0.09865802028569448
RNASim-1000-R17-true_align,minclusters_reimplemented,1.1213271617889404,2994.0870084762573,10026.9,0.09947053699709629,0.09578432300950679
RNASim-1000-R18-true_align,minclusters_reimplemented,1.0809173583984375,3082.054158449173,9802.7,0.10174162572162182,0.09684845993203428
RNASim-1000-R19-true_align,minclusters_reimplemented,1.0419988632202148,3186.694943189621,9850.3,0.09614564358098665,0.0916910460551641
RNASim-1000-R1-true_align,minclusters_reimplemented,1.0594196319580078,2974.010850906372,5682.7,0.09608467244598062,0.09157503933798727
RNASim-1000-R2-true_align,minclusters_reimplemented,1.091850996017456,3069.8369669914246,9867.4,0.09958763180286645,0.09455520141563367
RNASim-1000-R3-true_align,minclusters_reimplemented,1.0790953636169434,3149.514671087265,9697.8,0.1009775244979304,0.09672119298386872
RNASim-1000-R4-true_align,minclusters_reimplemented,1.1030101776123047,2874.1346435546875,9887.7,0.10754257252895394,0.10031878028701058
RNASim-1000-R5-true_align,minclusters_reimplemented,1.0936319828033447,3113.4295630455017,9840.7,0.09081480330533631,0.08610615009818223
RNASim-1000-R6-true_align,minclusters_reimplemented,1.1254966259002686,3258.688487291336,9613.3,0.09710742592504074,0.09112178347139499
RNASim-1000-R7-true_align,minclusters_reimplemented,1.132493495941162,2923.7829146385193,9586.1,0.09816431875583975,0.09369566250748873
RNASim-1000-R8-true_align,minclusters_reimplemented,1.1306378841400146,3159.552824497223,9875.2,0.09787817332547644,0.09287269170541668
RNASim-1000-R9-true_align,minclusters_reimplemented,1.0628983974456787,2843.870657682419,9692.3,0.09432851133265951,0.08953269056935831
RNASim-1000-R0-true_align,minclusters,1.431701421737671,4414.073164701462,10916.5,0.09567097018972648,0.09207623778403573
RNASim-1000-R10-true_align,minclusters,1.3312091827392578,4247.2306435108185,10738.2,0.09807255755712618,0.09499472873817993
RNASim-1000-R11-true_align,minclusters,1.3578822612762451,4217.351607322693,10997.8,0.0960242935294554,0.09368057670049434
RNASim-1000-R12-true_align,minclusters,1.4061315059661865,4726.950583219528,5720.0,0.09441244698566331,0.09166346095505729
RNASim-1000-R13-true_align,minclusters,1.4159624576568604,4409.1627469062805,11011.1,0.09396535427474717,0.09167775052017313
RNASim-1000-R14-true_align,minclusters,1.2818403244018555,4545.794724702835,10701.4,0.09614530240943953,0.09486555949977016
RNASim-1000-R15-true_align,minclusters,1.501887321472168,4883.031831502914,10805.8,0.10193708121821354,0.09805400303320233
RNASim-1000-R16-true_align,minclusters,1.4463491439819336,4467.321537017822,10764.6,0.10593916180423846,0.10100029864189497
RNASim-1000-R17-true_align,minclusters,1.3542428016662598,4637.419547557831,10665.3,0.09793820269306697,0.09579117916647328
RNASim-1000-R18-true_align,minclusters,1.4409637451171875,4399.052814006805,10971.6,0.10284394287965459,0.10021581290072235
